B0C1VK9BR4,Goldlife C1 1 Controller Bluetooth Compatible,"About Goldlife
Looking for the perfect lighting solution for your pool or boat? Look no further than Goldlife! Our love for all things underwater led us to create a store dedicated to providing the highest quality pool lights and underwater boat lights available.
We believe that everyone deserves the best possible lighting to enhance their underwater experiences, and we'll go the extra mile to make sure you're completely satisfied with your purchase.
The voltage is 12v, and the total power does not exceed 180W.
The voltage is 24v, and the total power does not exceed 360W
Goldlife C1-1 5in1 RF WiFi Bluetooth LED Controller
-For All RGBCW/RGBW/RGB/CW/DIMMER LED Lights
Voltage: DC12V~24V
Output: 6A/Channel ( Total Output Max. 15A)
Control Method: App, Remote, Voice
Working Temperature: -20~60
Communication Mode: WiFi-IEEE 802. 11b/g/n 2. 4GHz
Material: High-quality flame-retardant PC
Size: 4.8*1.49*0.86 Inches
Attention:
1. The working Voltage is DC12~24V, the controller will be broken if the voltage is higher than 24V.
2. Please check whether the input voltage of the constant the voltage power supply is in accordance with the controller.
3. Non-professional users cannot dismantle the controller directly, otherwise, it may cause fire and electric shock.
Boat light B1 Boat light B2 Pool Light P1 Pool Light P2 Remoter C1-2 Remoter C1-3
Lumen 10,000LM 8,000LM 6,000LM 10,000LM - -
Rated Power 100W 80W 60W 100W - -
Color RGB RGB RGB RGB All Color All Color
Cord 5ft 5ft 50ft 50ft - -
Size 7"" 12"" 7"" 11"" 5.9"" 3.4""
Waterproof IP68 IP68 IP68 IP68 - -
Under Water     x x
Above Water x x x x  
Compatibility Fit for RGB controllers Fit for RGB controllers Fit for RGB controllers Fit for RGB controllers Fit for our controllers Fit for our controllers",Goldlife,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61tqEvX5osL._AC_SX679_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MzMxNjQxNzU2Nzc2NzA1OjE3MDE5MDk4Njg6c3BfYXRmX25leHQ6MzAwMDAxNzk2MDM2NTAyOjowOjo&url=%2FGoldlife-C1-1-Controller-Bluetooth-Compatible%2Fdp%2FB0C1VK9BR4%2Fref%3Dsr_1_147_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909868%26sr%3D8-147-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
B0BHQYJPSK,ELEGRP Compatible Assistant Neutral Required,"ELEGRP SINGLE POLE SMART DIMMER LIGHT SWITCHES
Play Video
BRIGHTNESS CONTROL APP CONTROL VOICE CONTROL MANUAL CONTROL
Light up Your Room Instantly for Any Occasion.
With ELEGRP smart dimmer light switch, you can personalize and optimize your home's lighting to enjoy the perfect light for any room at any time. Turn lights on/off, dim, set groups or schedules to fit your life all from your smartphone!
Before Buying
Single-pole only
2.4G Wifi Network Only (NOT 5G)
Neutral Wire Required( A bundle of white wires, the house should be built after mid-80s)
Not recommended for use with non-dimming bulbs and smart bulbs.
Max Load: 150W LED / CFL; 450W INC / HAL
SMART SCHEDULING SMART SCENES FADE ON/OFF INDICATOR BRIGHTNESS
Easy Operation Elegant Design What Can I Control? Ultra Slim Profile
EASY INSTALLATION
ELEGRP Smart Switch Comparison
Smart Dimmer Switch
Smart Dimmer Switch
Smart Light Switch
Smart Light Switch
Smart Touch Dimmer Switch
Smart Touch Dimmer Switch
Smart Sersor Switch
Wiring
Single Pole 3 Way Single Pole 3 Way Single Pole 3 Way Single Pole
Maximum Load
150W LED/CFL, 450W INC/HAL 150W LED/CFL, 600W INC/HAL 150W LED/CFL, 600W INC/HAL 150W LED/CFL, 450W INC/HAL 150W LED/CFL, 450W INC/HAL 150W LED/CFL, 450W INC/HAL 150W LED/CFL, 450W INC/HAL
Neutral Wire
Required Required Required Required Required Required Required
Works with
Alexa, Google Assistant Alexa, Google Assistant Alexa, Google Assistant Alexa, Google Assistant Alexa, Google Assistant Alexa, Google Assistant Alexa, Google Assistant
Network
2.4 GHz Wifi 2.4 GHz Wifi 2.4 GHz Wifi 2.4 GHz Wifi 2.4 GHz Wifi 2.4 GHz Wifi 2.4 GHz Wifi",ELEGRP,BRIGHTNESS,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61IH9B9U7-L._SY500_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MzMxNjQxNzU2Nzc2NzA1OjE3MDE5MDk4Njg6c3BfYXRmX25leHQ6MzAwMDI4MjU2OTI2NzAyOjowOjo&url=%2FELEGRP-Compatible-Assistant-Neutral-Required%2Fdp%2FB0BHQYJPSK%2Fref%3Dsr_1_148_sspa%3Fkeywords%3Dsmart%2Bplug%2Bwifi%26qid%3D1701909868%26sr%3D8-148-spons%26ufe%3Dapp_do%253Aamzn1.fos.17d9e15d-4e43-4581-b373-0e5c1a776d5d%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
B0CCRY1CTD,jerss Mobile Appliances Miniature Accessories,"1. Timer Function: The smart socket sets the timer of the electrical appliance so that the smart plug is automatically turned on or off at a specific time, which can effectively reduce waste and make the home safer.
2. Remote Control: App control the smart plug by your smartphone . You can control the smart outlet at anytime anywhere. Only support 2.4Ghz WiFi.
3. Energy Saving And Power Saving: Smart plugs can help you eliminate wasted standby power, reduce energy consumption, save your electricity bill, and extend product life.
4. Multiple Guarantees: Smart plug for fire and overload protection. When the current exceeds the threshold, the circuit breaker is automatically opened to prevent equipment damage.
5. High Quality Material, Safe To Use: PC and ABS shell materials, and V0 fire rating, can protect the safety of your home. Support 100~240V, maximum load 10A.

Specification:
Item Type: Smart Socket
Shell Material: PC+ABS
Gross Weight: Approx. 68g/2.4oz
Size: Approx. 5.3x5.3x4.5cm / 2.1x2.1x1.8in
Input Voltage: AC100-240V
Current Work: 10A
Fire Rating: V0
Working Temperature: 0-40C
App: For IOS, For Android

PackageList:
1 x Smart Socket
1 x Manual

Note:
For iOS 8.0 or above, for Android 4.4 or above.",jerss,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51qGjKD2apL._AC_SX679_.jpg,https://www.amazon.com/jerss-Mobile-Appliances-Miniature-Accessories/dp/B0CCRY1CTD/ref=sr_1_149?keywords=smart+plug+wifi&qid=1701909868&sr=8-149
B09TB4CSDL,Athom Required Function Supports Certified,"Pre flashed Homekit Smart Plug for Apple homekit Brazil Standard
Material: ABS+PC
Voltage: 100-250V 50/60Hz
Max. Current: 16A
Max. Power: 3520W
Consumption Monitor: No
Working Temperature: -20~50
Wireless: WiFi 2.4GHz 802.11b/g/n
Control Mode: APP/Voice/Manual
Certification: CE, RoHS",Athom,HOMEKIT,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/21gDPBWMszL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.com/Athom-Required-Function-Supports-Certified/dp/B09TB4CSDL/ref=sr_1_150?keywords=smart+plug+wifi&qid=1701909868&sr=8-150
B09BDZP2R8,UltraPro Plug ins Stackable 1 Outlet Outdoor,"2.4GHz Wi-Fi Compatible Connects to 2.4GHz networks of single-, dual- and tri-band routers through effortless pairing options for use with the latest home Wi-Fi equipment. DOES NOT WORK WITH 5GHz NETWORKS. Voice Control No hub required for voice commands through Amazon Alexa and Google Assistant. Easy-to-Use App Versatile UltraPro app available in the Apple App Store and Google Play simplifies network connection for hassle-free mobile operation of lights, fans and more. Alerts and do-not-disturb function allow personalized monitoring without inconvenient interruptions. 2.4GHz Wi-Fi Compatible Connects to 2.4GHz networks of single-, dual- and tri-band routers through effortless pairing options for use with the latest home Wi-Fi equipment. DOES NOT WORK WITH 5GHz NETWORKS. Voice Control No hub required for voice commands through Amazon Alexa and Google Assistant. Easy-to-Use App Versatile UltraPro app available in the Apple App Store and Google Play simplifies network connection for hassle-free mobile operation of lights, fans and more. Alerts and do-not-disturb function allow personalized monitoring without inconvenient interruptions.",UltraPro,ULTRAPRO,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/41RxN7QjX-L._AC_SX679_.jpg,https://www.amazon.com/UltraPro-Plug-ins-Stackable-1-Outlet-Outdoor/dp/B09BDZP2R8/ref=sr_1_151?keywords=smart+plug+wifi&qid=1701909868&sr=8-151
B0BFVM16T7,ELEGRP Outdoor Waterproof Individually Assistant,"ELEGRP PQR22 Outdoor Smart Dimmer Plug
Play Video
1 IP66 Waterproof 2 Weather Resistant 3 Individual Control 4 Overheat Protection
Looks Waterproof, Acts Super Waterproof
Smarter to Control Your Lights
Voice Control App Remote Control Flexible Schedule Long-range WiFi
Dim Your Outdoor Light Freely
Small in Size, Big in Quality
ELEGRP Smart Plug Comparison
Smart Dimmer Plug PQR22
Outdoor Smart Plug PQR20
Outdoor Smart Plug PQR10
Smart Dimmer Plug PQR21
Smart Dimmer Plug PQR11
Dim Your Light
Yes No No Yes Yes
Socket number
Two Two One Two (One Dimmer Socket) One
Rating
120V AC 60Hz 15A, 120V AC 125V AC 15A 60Hz 125V AC 15A 60Hz 125V AC 60Hz
Load Capacity
INC 250W, LED/CFL 150W 1875W Max in Total 1875W Max in Total INC 400W, LED/CFL 150W / 1475W INC/HAL 400W; LED/CFL:150W
Waterproof Level
IP66 IP66 IP66 IP66 IP66
Certified
UL; FCC UL; FCC UL; FCC UL; FCC UL; FCC",ELEGRP,ALEXA,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/71Rywnwqp0L._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTI5MDQxMDkwNjA0NzA1OjE3MDE5MDk4Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA3NjE2MTg0ODIwMjo6MDo6&url=%2FELEGRP-Outdoor-Waterproof-Individually-Assistant%2Fdp%2FB0BFVM16T7%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%253Aamzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB0BFVM16T7%26pd_rd_r%3D1e808beb-c42a-4e55-9d8a-f34fc6bb06ec%26pd_rd_w%3DAAMuz%26pd_rd_wg%3DAgS8D%26pf_rd_p%3Dd6ad0a4b-2eda-440d-98a3-7289fc1c492e%26pf_rd_r%3D2CKYQBRH0Q42YSYYQJQF%26qid%3D1701909868%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-145-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B091T81H7M,VOCOlinc Outlet HomeKit Control Required,"VOCOlinc WiFi Smart Plug
Voice Control
Works with Apple Home, Amazon Alexa, Google Home.
Learn More
Compact Design
Mini WiFi smart plug occupies only one socket and not affect the use of other jacks in the socket.
Timer Setting
You can set schedules to automatically turn on/off devices.
Connection For Apple Homekit
Connection For Android (VOCOlinc APP)
How to work with Alexa and Google Assistant?
Kind Tips: To use Alexa or Google, the premise is that the device is connected to the VOCOlinc cloud. When pairing (during setup), this product requires a 2.4GHz wireless network.
Step 1: Please Download the VOCOlinc APP. When opening the app for the first time, select Multi-system Mode and log in.
Step 2: After resetting the device, open the VOCOlinc APP to add the device. After the addition is complete, the device will be automatically connected to the VOCOlinc cloud.
Step 3: For Alexa VOCOlinc App > User > 3rd party connection > Link to Amazon Alexa > Login with Amazon > Login and connect in the Alexa APP that opens automatically. After the connection is successful, it will automatically return to the VOCOlinc APP.
Step 4: Confirm whether the link is successful: Open ALexa APP > More > Skills & Games > Your Skills > You will see VOCOlinc in the Enabled list. That means it's already connected.
Step 5: You can use it by voice control. Enjoy it.
Step 6: For Google VOCOlinc App > User > 3rd party connection > Link to Google Home, and complete the link on the pop-up Google webpage or APP.
Step 7:Confirm whether the link is successful: Open the Google Home App > Tap the ""+"" in the upper left corner > Select ""Set up device"" > Select ""Works with Google"" > Check if there is ""VOCOlinc"" under ""Linked services""
Does VOCOlinc wifi plug require you to download an app for the vendor or setup an account with them?
What are the unit dimensions?
Apple homekit support? The linkwise app listed in the apple app store shows connectivity to alexa and android.
Can it work with 5G wifi?
For remote access, what is needed at the location where this plug is?",VOCOlinc,GOOGLEASSISTANT,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/719NzktXWuL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTI5MDQxMDkwNjA0NzA1OjE3MDE5MDk4Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjMwMDA4NDczNjU3MDAwMjo6MTo6&url=%2FVOCOlinc-Outlet-HomeKit-Control-Required%2Fdp%2FB091T81H7M%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%253Aamzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB091T81H7M%26pd_rd_r%3D1e808beb-c42a-4e55-9d8a-f34fc6bb06ec%26pd_rd_w%3DAAMuz%26pd_rd_wg%3DAgS8D%26pf_rd_p%3Dd6ad0a4b-2eda-440d-98a3-7289fc1c492e%26pf_rd_r%3D2CKYQBRH0Q42YSYYQJQF%26qid%3D1701909868%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-146-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B07X52W1J8,Waterproof Compatible Assistant Required MP22W,"Play Video
Minoston Outdoor Smart Plug Waterproof Wifi Outdoor Plug
Dustproof and Waterproof
Waterproof Smart Plug for Outdoor and Indoor Use
This outdoor smart plug is rated IP65 weatherproof. It can effectively prevent dust and water.
IP65 Waterproof Plug Remote Control Voice Control Schedule & Countdown Group Control & Scene Set
2.4Ghz Smart Outdoor Plug
Powerful Wi-Fi Control Range
This wifi plugs smart plug outdoor has a powerful wifi control range-up to 305 feet in open range.
Share Smart Plug with Others
This wifi smart plug is allowed to share with your families or your friends so that they can control the device, too.
Heavy Duty Smart Plug
This outdoor wifi plugs smart plug is small but powerful. It is 15A max. loading and up to 1875W.
(125V, 60Hz)
Child Lock for Smart Plug
This outdoor smart outlet plug has a child lock function to prevent children or other people from accidentally controlling the device incorrectly.
Easy to Add the Smart Plug to Minoston APP-NO HUB REQURIED (less than 1 min)
This wifi outlet plug is every easy to setup. It can connect quickly via Bluetooth. Setup time is less than 1 minute.
Does this smart outdoor outlet support 5Ghz Wi-Fi?
Can this outdoor smart plug work with Alexa? And how?
Can I control the devices connected to this smart plug at home when I travel?
If my wifi network is a 5Ghz wifi, how do I add a device?
Wi-Fi Smart Plug VS Z-Wave Smart Plug (For Outdoor and Indoor)
Wi-Fi Outdoor Smart Plug
2 Pack Wi-Fi Smart Plug
Energy Monitor Smart Plug
Wi-Fi Outdoor Dimmer Plug
Wi-Fi Dual Smart Plug
Z-Wave Outdoor Smart Plug
Z-Wave Smart Dual Plug
Model Number
MP22W MP22W MP22WP MP22WD MP24W MP22Z MP24Z
Power
125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz 125VAC, 60Hz
Max. Loading
15 Amp Max 15 Amp Max 15 Amp Max 400W 15 Amp Max 15 Amp Max 15 Amp Max
Setting Timer
      
Voice & Remote Control
      
Dimmer Function
      
Energy Monitoring
      
hub required
      ",Minoston,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61v9k7J4HXL._SX522_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTI5MDQxMDkwNjA0NzA1OjE3MDE5MDk4Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA1OTM5NTA5NjE5ODo6Mzo6&url=%2FWaterproof-Compatible-Assistant-Required-MP22W%2Fdp%2FB07X52W1J8%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%253Aamzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB07X52W1J8%26pd_rd_r%3D1e808beb-c42a-4e55-9d8a-f34fc6bb06ec%26pd_rd_w%3DAAMuz%26pd_rd_wg%3DAgS8D%26pf_rd_p%3Dd6ad0a4b-2eda-440d-98a3-7289fc1c492e%26pf_rd_r%3D2CKYQBRH0Q42YSYYQJQF%26qid%3D1701909868%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-148-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B09LBSV1QM,Smarter Living Reliable Supports Required,"Smarter Living - Smart Plug WiFi (New 2021 Model), 2-Pack, Compatible with Alexa and Google Home, Voice and Smart Life and Tuya app control.",Smarter Living,SMARTLIFE,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/31uageNdheL._SY445_SX342_QL70_FMwebp_.jpg,https://www.amazon.com/sspa/click?ie=UTF8&spc=MToyMTI5MDQxMDkwNjA0NzA1OjE3MDE5MDk4Njg6c3Bfc2VhcmNoX3RoZW1hdGljOjIwMDA3MDAxNjEwODc5ODo6NDo6&url=%2FSmarter-Living-Reliable-Supports-Required%2Fdp%2FB09LBSV1QM%2Fref%3Dsxin_14_pa_sp_search_thematic_sspa%3Fcontent-id%3Damzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%253Aamzn1.sym.d6ad0a4b-2eda-440d-98a3-7289fc1c492e%26cv_ct_cx%3Dsmart%2Bplug%2Bwifi%26keywords%3Dsmart%2Bplug%2Bwifi%26pd_rd_i%3DB09LBSV1QM%26pd_rd_r%3D1e808beb-c42a-4e55-9d8a-f34fc6bb06ec%26pd_rd_w%3DAAMuz%26pd_rd_wg%3DAgS8D%26pf_rd_p%3Dd6ad0a4b-2eda-440d-98a3-7289fc1c492e%26pf_rd_r%3D2CKYQBRH0Q42YSYYQJQF%26qid%3D1701909868%26sbo%3DRZvfv%252F%252FHxDF%252BO5021pAnSA%253D%253D%26sr%3D1-149-f853d353-bf33-45e7-b5c2-2cb2b31abc9b-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9zZWFyY2hfdGhlbWF0aWM%26psc%3D1
B07QC93RHR,D Link Outdoor Outlets Required DSP W320 US,"IP54 Dust & Water-Resistant Design
Rubber outlet covers protect the smart plug against dust and splashing water. Perfect for outdoor use.
Voice Control
Pairs easily with Amazon Alexa or Google Assistant to do simple voice commands, like turning on lights.
Smart Home Compatible
Works with mydlink Smart Home devices, Amazon Alexa, and the Google Assistant.
Independent Outlet Control
Two independent outlets for more flexible control over multiple devices. Turn on your patio lights and leave the water feature off.
No Hub Required
The smart plug works with 2.4 GHz WiFi, eliminating the need for a separate, expensive hub. Add as many as you need to cover your home.
Set Your Own Schedule
Schedule lights to turn on when you get home or at specific times to make it look like you're home while away.
Control from Anywhere
Manage every mydlink device and see whats happening from your phone or tablet with the mydlink app.
Amazing Outdoor Parties
Turn any summer backyard party into an amazing experience that wows your guests. Just plug in your fairy lights, string lights and fog machine. Activate them with your voice, and watch your guests gasp in amazement!",D-Link,MYDLINK,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51bQWWgfKAL.__AC_SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.com/D-Link-Outdoor-Outlets-Required-DSP-W320-US/dp/B07QC93RHR/ref=sr_1_152?keywords=smart+plug+wifi&qid=1701909868&sr=8-152
B0CHG2D6YY,Lutron Weatherproof Compatible Assistant PD 15OUT BL,"Introducing the newest member of the Casta by Lutron family: the Casta Weatherproof+ Outdoor Smart Plug. The Casta Outdoor Smart Plug is IP65-rated, which means it is protected against dust, dirt, and severe rainfall. It is built to last, rated to withstand temperatures from -4 to 122 F, and its black, polycarbonate body delivers long-term durability, UV resistance, and full protection of its internal electronics. Smart home - meet your smart yard. With the Lutron Casta Smart Hub (L-BDG2-WH, sold separately), you can toss your traditional timer - effortlessly schedule and control your outdoor lights year-round, without any need for manual adjustments. The plug will not lose its place as the sun rises and sets, as the seasons change, and as you gain or lose an hour with Daylight Savings. The plug is perfect for landscape lighting, patio string lighting/holiday lights (1,000s of ft of LED and 100s of ft of incandescent), as well as inflatables, and small pumps and motors (up to  HP). You can also add a Lutron Casta Smart Hub (sold separately) to unlock smart control of your Outdoor Smart Plug. The Plug Compatible with Alexa, the Google Assistant, Apple HomeKit, Ring, and more. Control the plug in a variety of ways, via your preferred voice assistant, the Lutron app, or the Pico remote.",Lutron,LUTRON,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51DfmKVjapL._SX522_.jpg,https://www.amazon.com/Lutron-Weatherproof-Compatible-Assistant-PD-15OUT-BL/dp/B0CHG2D6YY/ref=sr_1_153?keywords=smart+plug+wifi&qid=1701909868&sr=8-153&ufe=app_do%3Aamzn1.fos.17d9e15d-4e43-4581-b373-0e5c1a776d5d
B0B4KVXYN1,Good Choice 2 Outlet WiFi Smart,"2.4GHz Wi-Fi Compatible  Connects to 2.4GHz networks of single-, dual- and tri-band routers through effortless pairing options for use with the latest home Wi-Fi equipment. DOES NOT WORK WITH 5GHz NETWORKS. Voice Control  No hub required for voice commands through Amazon Alexa and Google Assistant. Easy-to-Use App  Versatile UltraPro app available in the Apple App Store and Google Play simplifies network connection for hassle-free mobile operation of lights, fans and more. Alerts and do-not-disturb function allow personalized monitoring without inconvenient interruptions. Simple Setup  Schedules and automations support full customization based on times, presets, weather, location and other factors. Organize devices by rooms and homes to control several locations from one app. Space-Saving Design  2 Indoor plug-in switches feature 2 grounded, simultaneously controlled outlets with a manual ON/OFF button and only occupies one outlet of a duplex receptacle.",HEB,ULTRAPRO,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/613lJYDyPIL._SX522_.jpg,https://www.amazon.com/Good-Choice-2-Outlet-WiFi-Smart/dp/B0B4KVXYN1/ref=sr_1_154?keywords=smart+plug+wifi&qid=1701909868&sr=8-154
B08MKL4CP7,Deco Essentials Switch Compatible Required,"Live Smart and Safe.Control your lights from anywhere and anytime. Set-up custom schedules to turn your lights or fans on/off with Voice Control or via the app. Set timers and grant access to your friends and family members easily via the app. Not only will you make your home smarter and safer, but you will save energy too!Product Features:Group ControlControl various types of light bulbs and fans. App supports setting smart single-pole switches in the same group, which is convenient to turn on/off your devices uniformly. Set a schedule turn off or turn on smart switch automatically.Remote ControlControls your lights, ceiling fans, and other fixtures on your smar phone whether you are in the office or on vacation. Turn your ceiling fan on/off at any time of the day or when your not home.Timer SchedulingSchedule your porch lights to turn on when you're home from work, always come back to a well-lit house. Set your kid's bedroom light to turn off at 11:00 pm as a reminder for your child that it's time for bed. Create timers in the morning to let your kids wake up with light.Voice ControlThe Smart Switch works directly with Amazon Alexa and Google Assistant to manage your devices through Voice Control.Home AutomationSet groups for easier control. Google Assistant could help control groups and unlock the Dusk to Dawn function according to the time.Device SharingEasily grant access to your family members or roommates in your home with the APP. Invite the person you wish to...",Deco Essentials,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/41S09p6Cc0L._AC_SX466_.jpg,https://www.amazon.com/Deco-Essentials-Switch-Compatible-Required/dp/B08MKL4CP7/ref=sr_1_155?keywords=smart+plug+wifi&qid=1701909868&sr=8-155
B0CB9QZQPT,2 4GHz 100 240V Dimmer Control Intelligent,"Description:
This is a WIFI smart remote control socket. It has the function of remote control and can control all smart homes by downloading an APP. The socket also can detect high-power appliances and reduce energy consumption. You don't have to do it yourself, just touch the phone key to get you into an intelligent home. With a timer function, you can control your device with a power outlet without a hub. You deserve such a versatile socket.


Specifications:
Type: Smart Socket
Color: White
Material: PC
Maximum Load: 10A
Input Voltage: AC 100-240V 50/60Hz
Wi-fi Standard: 2.4GHz 802.11b/g/n
Standby Power:  0.3W
Support System: Android/IOS
Specification: the US standard
Size: Approx. 55 * 50 * 50 mm / 2.1 * 2 * 2 inch
Weight: 59g

Package Include:
1 x Smart Socket
1 x English Manual",Wisecoco,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51jhj31AwuL.__AC_SX300_SY300_QL70_FMwebp_.jpg,https://www.amazon.com/2-4GHz-100-240V-Dimmer-Control-Intelligent/dp/B0CB9QZQPT/ref=sr_1_156?keywords=smart+plug+wifi&qid=1701909868&sr=8-156
B0C7H326ST,Socket Remote Control Receptacle Switches,"How do we start
Our shop is committed to providing high-quality industrial products to global buyers. Let customers buy high-quality products and improve the quality of work is our pursuit.
What makes our products unique
We work very hard to understand the tools people need in industry, DIY and home, and provide excellent products to make people's work better.
Why we love our work
Because we can provide customers with high-quality products, we are sincerely happy when customers praise our products and say that they have solved their problems. This is the motivation for our work.
FTVOGUE is a registered brand of industrial and home products. We insist on ""provide the best quality products and the most considerate service"" as our brand philosophy. We strive for perfection in every process of producing our products, and we are always listening to our customers. From drills to ground clips, from night lights to speakers, we're always on your way to finding quality products for you.
Hot Product
Visit the Store",FTVOGUE,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/41VvUcgCZtL._AC_SX679_.jpg,https://www.amazon.com/Socket-Remote-Control-Receptacle-Switches/dp/B0C7H326ST/ref=sr_1_157?keywords=smart+plug+wifi&qid=1701909868&sr=8-157
B0CHBML9GF,VTOSEN Function Convenient Automation 100 240V,"The WiFi Smart Plug Mini Smart Outlet, the ultimate solution for controlling your home appliances with ease and convenience. This smart plug is designed to make your life more efficient and simpler, giving you complete control over your devices from anywhere in the world.
Upgrade your home with the WiFi Smart Plug Mini Smart Outlet and experience the convenience and control of a smart home. With its voice control capabilities, timing function, and easy setup process, this smart plug is the perfect addition to any modern household. Take control of your appliances and simplify your life with this smart plug today.

Specification:
Item Type: Mini WiFi Plug
Diameter: Approx. 49mm / 1.9in
Length: Approx. 51mm / 2in
Material: ABS
Plug Voltage: US 100-240V
Frequency: 50/60Hz
Rated Current: 10A
WiFi Network Type: 2.4GHz
Control Distance: Approx. 45m / 147.6ft
Control Method: APP, voice (after connecting compatible devices)
Weight: Approx. 66g / 2.3oz

Package List:
1 x Plug
1 x Manual",VTOSEN,,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/41TPp9kS+rL._AC_SY300_SX300_.jpg,https://www.amazon.com/VTOSEN-Function-Convenient-Automation-100-240V/dp/B0CHBML9GF/ref=sr_1_158?keywords=smart+plug+wifi&qid=1701909868&sr=8-158
